MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	EmisCodeCategoryId
1551091000000112	8000	9No7	9No7.00	Seen in cystic fibrosis clinic	698529000	2974778015	37
1728561000006113	200	EMISNQSE44		Seen in Cystic Fibrosis clinic	1728561000006109	1728561000006113	37
3599031000006117	30	^ESCTBP359903		BPD - Bronchopulmonary dysplasia	67569000	500771016	32
500770015	4000	Q3170	Q317000	Perinatal bronchopulmonary dysplasia	67569000	500770015	32
3598991000006113	80	^ESCTBR359899		Bronchopulmonary dysplasia of newborn	67569000	112215012	32
3599001000006113	200	^ESCTBR359900		Bronchopulmonary dysplasia	67569000	112216013	32
474828010	1000	H564	H564.00	Bronchiolitis obliterans organising pneumonia	719218000	3525380019	32
492443010	2000	H3123	H312300	Bronchiolitis obliterans	40100001	492443010	32
1711491000006119	20	EMISNQPO17		Post-transplant bronchiolitis obliterans syndrome	1711491000006103	1711491000006119	32
1800881000000119	20	SP08B	SP08B00	Post-transplant bronchiolitis obliterans syndrome	805261000000101	1800881000000119	32
4781831000006111	1	^ESCTTO478183		Toxic bronchiolitis obliterans	196027008	301573017	32
8258171000006110	6	^ESCTBR825817		Bronchiolitis obliterans syndrome after lung transplantation	805261000000101	1800191000000114	32
21163015	800000	H34	H34..00	Bronchiectasis	12295008	21163015	32
38677017	2000	A115	A115.00	Tuberculous bronchiectasis	23022004	38677017	32
128792019	600	P861	P861.00	Congenital bronchiectasis	77593006	128792019	32
301524014	8000	H340	H340.00	Recurrent bronchiectasis	195984007	301524014	32
301525010	2000	H341	H341.00	Post-infective bronchiectasis	195985008	301525010	32
301526011	30000	H34z	H34z.00	Bronchiectasis NOS	12295008	21163015	32
2404941000000118	1000	14BA	14BA.00	H/O: bronchiectasis	939431000000108	2404941000000118	32
2806691000006111	8	^ESCTTR280669		Traction bronchiectasis	19325002	32582011	31
2867041000006113	9	^ESCTPO286704		Post-tuberculous bronchiectasis	23022004	1223017012	32
3327421000006113	1	^ESCTAD332742		Adult bronchiectasis	51068008	85092015	31
3858081000006116	10	^ESCTCY385808		Cylindrical bronchiectasis	83457000	138420013	31
5053671000006110	20	^ESCTAC505367		Acquired bronchiectasis	233628009	350080014	31
5053681000006113	2	^ESCTID505368		Idiopathic bronchiectasis	233629001	350081013	31
5053691000006111	2	^ESCTOB505369		Obstructive bronchiectasis	233630006	350082018	31
7307141000006111	2000	^ESCTAC730714		Acute exacerbation of bronchiectasis	445378003	2871807015	32
7715861000006113	1	^ESCTAC771586		Acute bronchitis co-occurrent with bronchiectasis	714203003	3298390012	31
14133001000006111	6	^ESCT1413300		Exacerbation of bronchiectasis caused by infection	879963005	3994042011	31
19421011	800	H581	H581.00	Interstitial pulmonary emphysema	77690003	503646013	32
99889013	80	Q3123	Q312300	Perinatal interstitial emphysema	60125001	1232048017	32
107470010	5000	H56y1	H56y100	Interstitial pneumonia	64667001	107470010	32
287032015	40	A7899	A789900	HIV disease resulting in lymphoid interstitial pneumonitis	421671002	2614782018	32
301611019	300	H4y2	H4y2.00	Drug-induced interstitial lung disorders	196051003	301611019	5
301612014	70	H4y20	H4y2000	Acute drug-induced interstitial lung disorders	196052005	301612014	5
301613016	400	H4y21	H4y2100	Chronic drug-induced interstitial lung disorders	196053000	301613016	5
301758015	80000	H58y3	H58y300	Interstitial lung disease	233703007	350185018	32
301852014	4000	Hyu50	Hyu5000	[X]Other interstitial pulmonary diseases with fibrosis	233703007	350185018	32
301853016	200	Hyu51	Hyu5100	[X]Other specified interstitial pulmonary diseases	233703007	350185018	32
316340019	40	Q312	Q312.00	Perinatal interstitial emphysema and related conditions	60125001	99889013	32
316342010	4	Q312z	Q312z00	Perinatal interstitial emphysema or related condition NOS	60125001	99889013	32
2475606014	3000	H5633	H563300	Usual interstitial pneumonitis	196125002	2475606014	32
2676188013	30	H58y6	H58y600	Interstitial lung disease due to collagen vascular disease	427123006	2676188013	32
207831000006116	300	Q3171	Q317100	Interstitial pulmonary fibrosis of prematurity	90610005	150170014	32
234431000006115	1	Q312y	Q312y00	Perinatal interstitial emphysema or related condition OS	60125001	99889013	32
457581000006111	100	H32y1-1	H32y111	Acute interstitial emphysema	77690003	503646013	32
621121000006112	90000	H5631	H563100	Diffuse interstitial pulmonary fibrosis	196125002	301706014	32
1747711000000111	600	H58y7	H58y700	Interstitial lung disease due to connective tissue disease	711379004	3078136017	32
1772931000006114	80	EMISNQDE25		Desquamative interstitial pneumonia	8549006	15098014	32
1772941000006116	100	EMISNQLY3		Lymphoid interstitial pneumonitis	44274007	493829019	32
1773251000006116	700	EMISNQNO54		Nonspecific interstitial pneumonia	129452008	208202018	32
1773261000006119	300	EMISNQFI20		Fibrotic nonspecific interstitial pneumonia	1773261000006103	1773261000006119	32
1773271000006114	40	EMISNQCE15		Cellular nonspecific interstitial pneumonia	1773271000006105	1773271000006114	32
1786171000006118	900	H58y5	H58y500	Respiratory bronchiolitis associated interstitial lung disease	129451001	1775408010	32
3064351000006114	1	^ESCTAC306435		Acute interstitial pneumonitis	35037009	58469019	31
3213191000006112	1	^ESCTLY321319		Lymphoid interstitial pneumonia	44274007	73846011	32
3213201000006110	1	^ESCTLY321320		Lymphocytic interstitial pneumonia	44274007	73847019	32
3476431000006119	3	^ESCTPE347643		Perinatal interstitial emphysema	60125001	99889013	32
3476441000006112	10	^ESCTPE347644		Perinatal pulmonary interstitial emphysema	60125001	1232048017	32
3476451000006114	1	^ESCTPI347645		PIE - Perinatal pulmonary interstitial emphysema	60125001	1232049013	32
3551861000006113	5	^ESCTIN355186		Interstitial pneumonitis	64667001	107472019	32
3764021000006117	4	^ESCTIN376402		Interstitial emphysema of lung	77690003	128944012	32
4378221000006110	8	^ESCTIN437822		Interstitial fibrosis	125565008	194055014	31
4426671000006115	1	^ESCTBR442667		Bronchiolitis with interstitial lung disease	129451001	3036355014	32
4782051000006118	30	^ESCTDR478205		Drug-induced interstitial lung disorder	196051003	3037337010	5
4782081000006114	6	^ESCTAC478208		Acute drug-induced interstitial lung disorder	196052005	3037082015	5
4782361000006119	50	^ESCTUI478236		UIP - Usual interstitial pneumonitis	196125002	2475607017	32
5054591000006110	200	^ESCTIL505459		ILD - Interstitial lung disease	233703007	350186017	32
7532701000006115	5	^ESCTUS753270		Usual interstitial pneumonia	700250006	2989702012	32
