MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	EmisCodeCategoryId
301485011	20000000	H33	H33..00	Asthma	195967001	301485011	32
301499010	10000	H330z	H330z00	Extrinsic asthma	424643009	2648327010	32
301508013	4000	H331z	H331z00	Intrinsic asthma NOS	266361008	396114013	32
301509017	10000	H332	H332.00	Mixed asthma	195977004	301509017	32
301511014	90000	H33z	H33z.00	Asthma unspecified	195967001	301485011	32
317393013	200000	R0609	R060900	[D]Wheezing	56018004	93172014	27
338238011	10000	H334	H334.00	Brittle asthma	225057002	338238011	32
350147016	70000	H330-2	H330.12	Childhood asthma	233678006	350147016	32
350148014	20000	H331-1	H331.11	Late onset asthma	233679003	350148014	32
350149018	10000	H33z2	H33z200	Late-onset asthma	233679003	350148014	32
350151019	2000	H3301-1	H330111	Acute exacerbation of allergic asthma	708093000	3083642013	32
350152014	6000	H33zz-2	H33zz12	Allergic asthma NEC	389145006	1483199016	32
350153016	10000	H3300-1	H330011	Hay fever with asthma	233683003	350153016	32
350154010	20000	H330-4	H330.14	Pollen asthma	233683003	350154010	32
350156012	200	H3311-1	H331111	Acute exacerbation of intrinsic asthma	708094006	3032866010	32
396114013	300000	H331	H331.00	Intrinsic asthma	266361008	396114013	32
396118011	10000	H33z0	H33z000	Life threatening acute exacerbation of asthma	734904007	3511368015	32
396119015	200000	H33z1	H33z100	Asthma attack	708038006	3032734012	32
396120014	700000	H33zz	H33zz00	Asthma NOS	195967001	301485011	32
407082013	400000	1737-1	1737.11	Wheezing symptom	272040008	407082013	27
409865018	10000	H33z1-1	H33z111	Asthma attack NOS	708038006	3032734012	32
411490016	300000	H060-1	H060.11	Acute wheezy bronchitis	275499005	411490016	32
419211018	2000000	H333	H333.00	Acute exacerbation of asthma	708038006	3032747019	32
456163018	60000	663j	663j.00	Asthma - currently active	312453004	456163018	1
1208954011	2000000	663t	663t.00	Asthma causes daytime symptoms 1 to 2 times per month	370202007	1208954011	1
1208955012	2000000	663u	663u.00	Asthma causes daytime symptoms 1 to 2 times per week	370203002	1208955012	1
1208956013	2000000	663v	663v.00	Asthma causes daytime symptoms most days	370204008	1208956013	1
1208957016	200000	663r	663r.00	Asthma causes night symptoms 1 to 2 times per month	370205009	1208957016	1
1208958014	30000	663x	663x.00	Asthma limits walking on the flat	370206005	1208958014	1
1208959018	100000	663w	663w.00	Asthma limits walking up hills or stairs	370207001	1208959018	1
1208969012	100000	663V1	663V100	Mild asthma	370218001	1208969012	1
1208970013	60000	663V2	663V200	Moderate asthma	370219009	1208970013	1
1208971012	60000	663V0	663V000	Occasional asthma	370220003	1208971012	1
1208972017	10000	663V3	663V300	Severe asthma	370221004	1208972017	1
1212342016	1000000	663q	663q.00	Asthma daytime symptoms	373899003	1212342016	1
1483199016	40000	H330-1	H330.11	Allergic asthma	389145006	1483199016	32
1488668018	300000	1J70	1J70.00	Suspected asthma	394967008	1488668018	27
1488722011	100000	66YP	66YP.00	Asthma night-time symptoms	395022009	1488722011	1
1780388018	70000	1O2	1O2..00	Asthma confirmed	401193004	1780388018	27
2163183015	90000	H302	H302.00	Wheezy bronchitis	405944004	2163183015	32
2533402016	10000	8HTT	8HTT.00	Referral to asthma clinic	415265005	2533402016	40
3511374015	200	^ESCT1164869		Moderate acute exacerbation of asthma	734905008	3511374015	32
3514925011	1	^ESCT1165691		Acute severe exacerbation of asthma co-occurrent and due to allergic asthma	735587000	3514925011	31
3637387011	5	^ESCT1169266		Exacerbation of allergic asthma	762521001	3637387011	32
145961000006117	30000	H33z0-1	H33z011	Acute severe exacerbation of asthma	708090002	3033029011	32
183191000006115	10000	H30-2	H30..12	Recurrent wheezy bronchitis	195949008	301450011	32
300371000000111	60	9NI8	9NI8.00	Asthma outreach clinic	198971000000102	300371000000111	37
473141000000114	300000	173e	173e.00	Viral wheeze	276191000000107	473141000000114	27
494261000000111	200000	173e-1	173e.11	Viral induced wheeze	276191000000107	494261000000111	27
636231000000119	200000	1788	1788.00	Asthma trigger - cold air	201191000000108	305961000000113	27
636251000000114	70000	1785	1785.00	Asthma trigger - damp	201201000000105	305981000000116	27
636271000000117	50000	1784	1784.00	Asthma trigger - emotion	201211000000107	306001000000115	27
636291000000118	300000	1789	1789.00	Asthma trigger - respiratory infection	201031000000108	305571000000112	27
636311000000117	100000	1787	1787.00	Asthma trigger - seasonal	201041000000104	305591000000111	27
655601000006113	400000	173A	173A.00	Exercise-induced asthma	31387002	52467014	32
655611000006111	20000	H33zz-1	H33zz11	Exercise induced asthma	31387002	52467014	32
660351000006118	300000	H330	H330.00	Allergic atopic asthma	389145006	1493645010	32
817361000006114	50000	H330-3	H330.13	Hay fever with asthma	233683003	350153016	32
856051000006115	3000	EMISASC3		Asthma control unsatisfactory	856051000006104	856051000006115	1
885291000006115	20000	H330-99	H330.99	Extrinsic asthma - atopy	389145006	885291000006115	32
905331000006118	100	HNG0007		[RFC] Asthma	905331000006102	905331000006118	12
908841000006111	1000	HNG0606		[RFC] Asthma	908841000006107	908841000006111	12
929091000006111	800	1780	1780.00	Aspirin-induced asthma	407674008	2159273015	5
955631000006116	3	TRIQQOC1		Occupational asthma	955631000006100	955631000006116	32
970911000006110	20	EMISNQRE34		Referral to Asthma clinic	970911000006106	970911000006110	40
983771000006118	100	173d	173d.00	Work aggravated asthma	57607007	95786019	27
1139131000000117	900	9NNX	9NNX.00	Under care of asthma specialist nurse	698509001	2974554010	37
1667621000000114	50000	R060E	R060E00	[D]Mild wheeze	755581000000101	1667621000000114	32
1667631000000111	20000	R060F	R060F00	[D]Moderate wheeze	755591000000104	1667631000000111	32
1667641000000119	3000	R060G	R060G00	[D]Severe wheeze	755601000000105	1667641000000119	32
1667651000000116	200	R060H	R060H00	[D]Very severe wheeze	755611000000107	1667651000000116	32
1722421000000110	200000	66Yq	66Yq.00	Asthma causes night time symptoms 1 to 2 times per week	771901000000100	1722421000000110	1
1722501000000119	100000	66Yr	66Yr.00	Asthma causes symptoms most nights	771941000000102	1722501000000119	1
1722581000000112	100000	663P0	663P000	Asthma limits activities 1 to 2 times per month	771981000000105	1722581000000112	1
1722651000000119	100000	663P1	663P100	Asthma limits activities 1 to 2 times per week	772011000000107	1722651000000119	1
1722731000000116	100000	663P2	663P200	Asthma limits activities most days	772051000000106	1722731000000116	1
1739131000000111	100000	178A	178A.00	Asthma trigger - airborne dust	340891000000106	1739131000000111	27
1739141000000119	200000	178B	178B.00	Asthma trigger - exercise	340901000000107	1739141000000119	27
1739151000000116	200000	1781	1781.00	Asthma trigger - pollen	340911000000109	1739151000000116	27
1739161000000118	40000	1782	1782.00	Asthma trigger - tobacco smoke	340921000000103	1739161000000118	27
1739171000000113	50000	1783	1783.00	Asthma trigger - warm air	340931000000101	1739171000000113	27
1769451000000116	60	9N1d0	9N1d000	Seen in school asthma clinic	791401000000104	1769451000000116	37
1807891000006111	1	JHCAS1		Asthma causes daytime asthma symptoms less than weekly	1807891000006107	1807891000006111	1
1807901000006110	1	JHCAS2		Asthma causes daytime symptoms more than weekly, less than daily	1807901000006106	1807901000006110	1
1807911000006113	1	JHCAS3		Asthma causes daytime asthma symptoms daily	1807911000006109	1807911000006113	1
1807921000006117	1	JHCAS4		Asthma causes night time symptoms less than 2 times per month	1807921000006101	1807921000006117	1
1807931000006119	1	JHCAS5		Asthma causes night time symp more than 2 times a month,not wkly	1807931000006103	1807931000006119	1
1807941000006112	1	JHCAS6		Asthma causes night time asthma symptoms weekly or more often	1807941000006108	1807941000006112	1
1821501000006116	1	JHCFR1		Frequent night time asthma symptoms	1821501000006100	1821501000006116	1
1821511000006118	1	JHCIN17		Infrequent asthma exacerbations	1821511000006102	1821511000006118	1
1821531000006112	1	JHCFR2		Frequent asthma exacerbations	1821531000006108	1821531000006112	1
1834141000006113	7	EMISNQCO151		Constant wheeze	1834141000006109	1834141000006113	27
1859261000006117	2000	EMISNQDA36		Date of asthma diagnosis	1859261000006101	1859261000006117	1
2009981000006110	70	EMISNQDI256		Difficult asthma	2009981000006106	2009981000006110	1
2010031000006116	9000	EMISNQAC876		Acute infective exacerbation of asthma	2010031000006100	2010031000006116	32
2010041000006114	900	EMISNQAC877		Acute non-infective exacerbation of asthma	2010041000006105	2010041000006114	32
2131281000000114	10000	ESCTAS6		Asthma trigger - perfume	818161000000104	2131281000000114	27
2240591000000119	7000	H335	H335.00	Chronic asthma with fixed airflow obstruction	866881000000101	2240591000000119	32
2241471000000111	2000	17370	1737000	Constant wheezing	867311000000104	2241471000000111	27
2374691000000117	300	17371	1737100	Wheezing in absence of colds	926181000000107	2374691000000117	27
2655531000006117	200	^ESCTEX265553		Expiratory wheezing	9763007	17069011	27
2655541000006110	900	^ESCTEX265554		Expiratory wheeze	9763007	512852013	27
2685251000006117	1	^ESCTMI268525		Millers' asthma	11641008	20108018	32
2892871000006111	1000	^ESCTWH289287		Wheeze - rhonchi	24612001	481967014	27
3005811000006119	1	^ESCTEX300581		Exercise induced asthma	31387002	3035282010	32
3008581000006118	70	^ESCTIN300858		Inspiratory wheezing	31572008	52778019	31
3047731000006119	1	^ESCTBA304773		Bakers' asthma	34015007	56808014	32
3410141000006112	200	^ESCTWH341014		Wheeze	56018004	93176012	27
3410151000006114	500	^ESCTWH341015		Wheezy	56018004	497493019	27
3435971000006119	1	^ESCTIN343597		Industrial asthma	57607007	95787011	27
4020511000006119	2	^ESCTDR402051		Drug-induced asthma	93432008	154654016	32
4781531000006113	70	^ESCTAS478153		Asthmatic	195967001	301479016	32
5054341000006110	7	^ESCTLA505434		Late-onset asthma	233679003	350149018	32
5054431000006112	300	^ESCTAS505443		Asthmatic pulmonary eosinophilia	233691007	350166016	32
5492441000006114	30	^ESCTNO549244		Non-allergic asthma	266361008	396115014	32
5649191000006110	20000	^ESCTEX564919		Exacerbation of asthma	281239006	419210017	32
5897201000006117	20	^ESCTEX589720		Expiratory polyphonic wheeze	301703002	443095016	31
6298421000006116	100	^ESCTEO629842		Eosinophilic asthma	367542003	492714018	32
6512381000006116	50	^ESCTAT651238		Atopic asthma	389145006	1493644014	32
6514741000006118	700	^ESCTAS651474		Asthma finding	390798007	1484832016	1
6550131000006111	1	^ESCTNO655013		Nocturnal asthma	395022009	2956617010	1
6720721000006111	3000	^ESCTAS672072		Asthmatic bronchitis	405944004	2157699014	32
6782071000006115	90	^ESCTCO678207		Cough variant asthma	409663006	2471432015	32
7015991000006110	3	^ESCTNO701599		Non-IgE mediated allergic asthma	423889005	2644387016	32
7021801000006116	1	^ESCTSU702180		Substance induced asthma	424199006	2644288011	32
7030311000006117	200	^ESCTIG703031		IgE-mediated allergic asthma	424643009	2644386013	32
7030321000006113	2	^ESCTIG703032		IgE mediated asthma	424643009	2648326018	32
7052221000006118	3	^ESCTEX705222		Exacerbation of intermittent asthma	425969006	2674141011	32
7062421000006112	8	^ESCTSE706242		Severe persistent asthma	426656000	2674140012	32
7067211000006115	10	^ESCTMI706721		Mild persistent asthma	426979002	2674138019	32
7071891000006112	1	^ESCTMO707189		Moderate persistent asthma	427295004	2674139010	32
7076331000006112	20	^ESCTIN707633		Intermittent asthma	427603009	2674136015	32
7077481000006119	20	^ESCTMI707748		Mild intermittent asthma	427679007	2674137012	32
7258581000006114	10	^ESCTAC725858		Acute exacerbation of chronic asthmatic bronchitis	442025000	2818419010	32
7307941000006113	400	^ESCTSE730794		Seasonal asthma	445427006	2872543019	32
7567071000006115	3	^ESCTAS756707		Asthma clinic	702823004	3006258013	31
7586621000006111	50	^ESCTOE758662		O/E - inspiratory wheeze	704114003	3011065015	27
7617611000006112	30	^ESCTEX761761		Exacerbation of mild persistent asthma	707445000	3030146012	32
7617621000006116	3	^ESCTEX761762		Exacerbation of moderate persistent asthma	707446004	3030142014	32
7617631000006118	3	^ESCTEX761763		Exacerbation of severe persistent asthma	707447008	3030154014	32
7618791000006110	2	^ESCTUN761879		Uncomplicated mild persistent asthma	707511009	3032641014	32
7626521000006110	2	^ESCTAC762652		Acute severe exacerbation of severe persistent asthma	707979007	3032643012	32
7626531000006113	1	^ESCTAC762653		Acute severe exacerbation of moderate persistent asthma	707980005	3032646016	32
7628301000006111	3	^ESCTAC762830		Acute severe exacerbation of allergic asthma	708095007	3083689010	32
7628321000006118	1	^ESCTAC762832		Acute severe exacerbation of immunoglobin E-mediated allergic asthma	708095007	3083685016	32
7628331000006115	1	^ESCTAC762833		Acute severe exacerbation of intrinsic asthma	708096008	3032982012	32
7961271000006111	6	^ESCTAC796127		Acute severe refractory exacerbation of asthma	733858005	3474968016	32
7961281000006114	8	^ESCTAC796128		Acute severe asthma	733858005	3474969012	32
7965491000006114	4	^ESCTAS796549		Asthma with irreversible airway obstruction	401000119107	2967325013	32
7966291000006118	200	^ESCTIN796629		Intermittent asthma well controlled	641000119106	3041227011	1
7970131000006117	20	^ESCTIN797013		Intermittent asthma uncontrolled	1741000119102	3041058017	32
8031201000006110	2	^ESCTAC803120		Acute exacerbation of asthma co-occurrent with allergic rhinitis	99031000119107	3040730014	32
8038971000006116	1	^ESCTIN803897		Intermittent asthma co-occurrent with allergic rhinitis	125021000119107	3041241019	32
8042571000006111	3	^ESCTAC804257		Acute exacerbation of moderate persistent asthma	135171000119106	3043548019	32
8042581000006114	10	^ESCTAC804258		Acute exacerbation of mild persistent asthma	135181000119109	3043530011	32
8060791000006112	30000	^ESCTAS806079		Asthma trigger - respiratory infection	201031000000108	636291000000118	27
8060811000006111	20000	^ESCTAS806081		Asthma trigger - seasonal	201041000000104	636311000000117	27
8061011000006113	40000	^ESCTAS806101		Asthma trigger - cold air	201191000000108	636231000000119	27
8061031000006119	10000	^ESCTAS806103		Asthma trigger - damp	201201000000105	636251000000114	27
8061051000006114	8000	^ESCTAS806105		Asthma trigger - emotion	201211000000107	636271000000117	27
8109001000006118	20000	^ESCTAS810900		Asthma trigger - airborne dust	340891000000106	634981000000119	27
8109021000006111	40000	^ESCTAS810902		Asthma trigger - exercise	340901000000107	635001000000112	27
8109041000006116	40000	^ESCTAS810904		Asthma trigger - pollen	340911000000109	635021000000115	27
8109071000006112	6000	^ESCTAS810907		Asthma trigger - tobacco smoke	340921000000103	635041000000110	27
8109091000006113	10000	^ESCTAS810909		Asthma trigger - warm air	340931000000101	635061000000111	27
8232711000006115	30000	^ESCTMI823271		Mild wheeze	755581000000101	1662621000000112	32
8232731000006114	6000	^ESCTMO823273		Moderate wheeze	755591000000104	1662641000000117	32
8232751000006119	600	^ESCTSE823275		Severe wheeze	755601000000105	1662661000000116	32
8232771000006112	50	^ESCTVE823277		Very severe wheeze	755611000000107	1662681000000113	32
8263631000006115	300	^ESCTAS826363		Asthma trigger - wind	815631000000106	2125531000000112	31
8555681000006115	10	^ESCTST855568		Steroid dependent asthma	2360001000004109	3046932018	32
9315071000006117	2	^ESCTSE931507		Severe controlled persistent asthma	10675391000119101	3424791011	32
9315091000006116	3	^ESCTSE931509		Severe persistent allergic asthma	10675431000119106	3043971012	32
9315171000006116	1	^ESCTSE931517		Severe persistent asthma uncontrolled co-occurrent with allergic rhinitis	10675711000119106	3083384012	32
9315181000006118	5	^ESCTSE931518		Severe uncontrolled persistent asthma	10675751000119107	3424789015	32
9315201000006117	4	^ESCTMI931520		Mild persistent allergic asthma	10675871000119106	3043169011	32
9315251000006118	1	^ESCTMI931525		Mild persistent allergic asthma controlled	10676031000119106	3083332018	1
9315261000006116	20	^ESCTMI931526		Mild persistent asthma controlled	10676071000119109	3083485012	1
9315301000006113	20	^ESCTMI931530		Mild persistent asthma uncontrolled	10676191000119106	3083629013	1
9315321000006115	1	^ESCTMI931532		Mild persistent asthma uncontrolled co-occurrent with allergic rhinitis	10676231000119102	3083628017	32
9315341000006110	1	^ESCTMO931534		Moderate persistent asthma controlled	10676351000119103	3083637017	1
9315431000006112	1	^ESCTMO931543		Moderate persistent allergic asthma uncontrolled	10676631000119100	3083365014	1
9315461000006115	20	^ESCTMO931546		Moderate persistent asthma uncontrolled	10676711000119103	3083432017	1
9934311000006111	8	^ESCTOR993431		Oral steroid-dependent asthma	16584951000119101	3427554014	32
11922851000006115	2000	^ESCT1192285		Acute asthma	304527002	446841017	32
12618341000006116	5	^ESCT1261834		Severe asthma with fungal sensitisation	1103911000000103	2763501000000116	32
13651301000006113	200000	^ESCT1365130		Bronchitis co-occurrent with wheeze	785728005	3768178018	32
13651601000006119	30	^ESCT1365160		Bronchitis co-occurrent with acute wheeze	785744001	3768225014	32
13651611000006116	300	^ESCT1365161		Acute bronchitis co-occurrent with wheeze	785745000	3768226010	32
13659841000006117	4	^ESCT1365984		Near fatal asthma	786836003	3772564015	32
13775501000006113	40	^ESCT1377550		Allergic asthma without status asthmaticus	63088003	3754351017	32
13930321000006112	2	^ESCT1393032		Thunderstorm asthma	829976001	3880167016	32
13997031000006117	3	^ESCT1399703		Intermittent allergic asthma	10674991000119104	3777826016	32
13619961000006119	100	^ESCT1361996		Exacerbation of allergic asthma due to infection	782520007	3754350016	32
13651461000006115	2	^ESCT1365146		Chronic bronchitis co-occurrent with wheeze	785736001	3768202013	32
